Latitude: 36.654554  Longitude: -106.860899
X & Y on Lambert Conformal Conic: -588131.34 -596176.65
Tile: 11377
Elevation: 2213 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2022,229,47992.14,11.24,249.18,0.00,22.55,13.19,1515.64
2022,230,47863.79,0.00,407.88,0.00,24.17,12.27,1427.17
2022,231,47734.45,0.00,442.14,0.00,23.35,10.30,1251.92
2022,232,47604.16,0.00,360.20,0.00,22.06,12.19,1419.41
2022,233,47472.94,6.75,362.24,0.00,22.82,8.17,1084.37
2022,234,47340.85,6.43,307.15,0.00,22.01,10.57,1275.39
2022,235,47207.91,5.20,319.27,0.00,23.73,11.50,1355.87
2022,236,47074.17,0.00,487.05,0.00,24.42,9.32,1172.60
2022,237,46939.65,8.39,360.64,0.00,25.37,10.19,1243.01
2022,238,46804.39,0.00,437.50,0.00,24.34,11.29,1337.34
2022,239,46668.43,7.25,373.88,0.00,25.18,8.73,1126.73
2022,240,46531.80,0.00,528.93,0.00,26.16,7.19,1014.23
2022,241,46394.53,0.00,535.29,0.00,26.86,6.78,986.44
2022,242,46256.66,0.00,518.67,0.00,27.61,8.46,1106.08
2022,243,46118.21,0.00,495.17,0.00,27.90,10.12,1237.29
2022,244,45979.22,0.00,492.74,0.00,27.81,10.07,1233.43
2022,245,45839.71,0.00,490.57,0.00,27.96,10.09,1235.07
2022,246,45699.72,0.00,450.71,0.00,26.24,10.90,1302.92
2022,247,45559.27,0.00,480.45,0.00,28.88,11.11,1321.99
2022,248,45418.40,0.00,479.67,0.00,29.50,11.38,1345.39
2022,249,45277.13,0.00,510.08,0.00,30.22,9.17,1161.01
2022,250,45135.49,0.00,506.91,0.00,31.30,9.82,1212.22
2022,251,44993.51,0.00,497.41,0.00,29.53,9.02,1149.27
2022,252,44851.21,0.00,476.95,0.00,29.34,10.14,1238.97
2022,253,44708.62,1.96,403.42,0.00,25.77,11.36,1343.96
2022,254,44565.77,1.70,466.88,0.00,25.41,7.43,1031.01
2022,255,44422.69,0.00,470.72,0.00,25.74,7.29,1021.48
2022,256,44279.39,7.56,334.69,0.00,24.61,7.70,1050.55
2022,257,44135.91,0.00,424.29,0.00,23.77,8.20,1086.94
2022,258,43992.26,0.00,462.50,0.00,23.94,5.81,922.44
2022,259,43848.49,0.00,430.84,0.00,23.94,7.48,1035.22
2022,260,43704.60,0.00,456.77,0.00,24.96,6.38,959.64
2022,261,43560.62,0.00,434.98,0.00,24.64,7.30,1022.08
2022,262,43416.59,0.00,426.39,0.00,25.44,8.17,1084.90
2022,263,43272.52,5.90,303.10,0.00,25.00,8.90,1139.46
2022,264,43128.43,18.92,221.87,0.00,19.91,9.27,1168.29
2022,265,42984.36,16.05,226.98,0.00,20.10,9.13,1157.62
2022,266,42840.32,0.00,399.89,0.00,22.00,6.22,948.97
2022,267,42696.35,0.00,433.07,0.00,23.54,5.32,891.35
2022,268,42552.46,0.00,434.44,0.00,24.79,5.92,929.59
2022,269,42408.68,0.00,433.68,0.00,25.14,6.05,937.64
2022,270,42265.04,0.00,415.99,0.00,24.13,6.26,951.64
2022,271,42121.55,0.00,409.53,0.00,23.20,5.80,922.06
2022,272,41978.25,0.00,394.72,0.00,21.91,5.51,903.48
2022,273,41835.17,0.00,407.55,0.00,22.84,5.38,895.32
2022,274,41692.32,0.00,391.84,0.00,21.79,5.30,890.18
2022,275,41549.73,13.25,182.89,0.00,16.58,7.60,1043.25
2022,276,41407.43,0.00,295.45,0.00,16.81,5.71,916.21
2022,277,41265.44,4.16,245.15,0.00,17.51,4.93,867.82
2022,278,41123.80,2.11,199.61,0.00,15.30,5.57,907.23
2022,279,40982.53,0.00,318.83,0.00,16.28,4.34,832.77
2022,280,40841.65,0.00,352.81,0.00,17.57,3.94,809.44
2022,281,40701.20,0.00,342.68,0.00,16.88,3.87,805.80
2022,282,40561.21,2.05,269.01,0.00,17.14,3.22,769.63
2022,283,40421.70,1.74,376.40,0.00,17.58,2.47,729.74
2022,284,40282.70,0.00,390.77,0.00,19.13,2.79,746.27
2022,285,40144.25,0.00,398.37,0.00,20.32,3.09,762.48
2022,286,40006.37,0.00,405.35,0.00,21.03,2.85,749.65
2022,287,39869.10,0.00,416.79,0.00,20.11,0.61,638.21
2022,288,39732.46,0.00,418.75,0.00,20.39,0.28,623.26
2022,289,39596.50,0.00,306.10,0.00,14.19,2.36,723.78
2022,290,39461.24,0.00,330.32,0.00,13.27,0.27,622.83
2022,291,39326.71,0.00,389.82,0.00,17.34,-0.15,603.85
2022,292,39192.96,0.00,410.67,0.00,19.35,-0.85,573.91
2022,293,39060.02,0.00,406.83,0.00,19.02,-1.19,560.02
2022,294,38927.92,0.00,386.06,0.00,18.03,-0.45,591.09
2022,295,38796.70,4.36,220.33,0.00,13.35,1.25,668.63
2022,296,38666.40,5.29,201.32,0.00,9.15,-1.48,547.88
2022,297,38537.05,0.00,310.78,0.00,7.97,-4.74,429.65
2022,298,38408.70,0.00,378.16,0.00,11.68,-6.16,385.49
2022,299,38281.38,0.00,305.57,0.00,9.02,-3.52,470.89
2022,300,38155.13,2.38,240.58,0.00,8.40,-5.08,418.68
2022,301,38030.00,0.00,382.73,0.00,11.95,-7.00,361.53
2022,302,37906.02,0.00,372.84,0.00,12.99,-5.37,409.49
2022,303,37783.24,0.00,366.74,0.00,12.97,-5.07,419.04
2022,304,37661.70,0.00,372.67,0.00,14.18,-5.01,420.98
2022,305,37541.45,0.00,363.60,0.00,14.68,-4.22,446.80
2022,306,37422.52,0.00,298.77,0.00,12.93,-0.78,576.82
2022,307,37304.96,8.60,110.03,0.00,5.06,-0.81,575.55
2022,308,37188.81,0.00,280.17,0.00,6.15,-6.24,383.24
2022,309,37074.13,0.00,341.32,0.00,10.60,-6.87,365.07
2022,310,36960.96,0.00,337.83,0.00,14.35,-3.51,471.41
2022,311,36849.34,0.00,334.68,0.00,15.95,-2.14,521.82
2022,312,36739.32,0.00,331.67,0.00,15.75,-2.40,511.94
2022,313,36630.95,0.00,303.58,0.00,10.07,-5.33,410.81
2022,314,36524.27,0.00,315.65,0.00,6.58,-9.81,290.20
2022,315,36419.34,0.00,331.40,0.00,6.81,-11.42,255.38
2022,316,36316.21,0.00,324.81,0.00,8.75,-9.15,305.68
2022,317,36214.91,0.00,242.10,0.00,7.08,-4.41,440.41
2022,318,36115.50,0.00,291.96,0.00,3.61,-11.09,262.18
2022,319,36018.03,0.00,297.71,0.00,3.09,-12.37,236.54
2022,320,35922.54,0.00,304.77,0.00,3.35,-12.97,225.26
2022,321,35829.09,0.00,295.86,0.00,3.38,-12.32,237.37
2022,322,35737.72,0.00,312.97,0.00,5.03,-12.53,233.44
2022,323,35648.48,0.00,325.58,0.00,6.19,-13.17,221.65
2022,324,35561.43,0.00,334.62,0.00,8.51,-12.82,228.03
2022,325,35476.59,0.00,324.38,0.00,9.08,-11.29,257.94
2022,326,35394.04,0.00,316.39,0.00,8.91,-10.90,266.23
2022,327,35313.80,0.00,293.14,0.00,7.29,-10.00,285.85
2022,328,35235.93,0.00,290.77,0.00,6.71,-10.49,275.04
2022,329,35160.47,0.00,306.32,0.00,9.16,-10.43,276.26
2022,330,35087.47,0.00,268.60,0.00,7.87,-7.82,339.35
2022,331,35016.96,0.00,251.71,0.00,6.13,-8.06,333.03
2022,332,34949.01,0.00,219.36,0.00,3.94,-7.78,340.30
2022,333,34883.64,0.00,243.86,0.00,3.01,-10.39,277.29
2022,334,34820.89,0.00,293.71,0.00,6.32,-12.03,243.14
2022,335,34760.81,0.00,255.76,0.00,9.83,-4.89,424.69
2022,336,34703.44,0.00,201.71,0.00,6.28,-4.41,440.50
2022,337,34648.81,1.18,170.26,0.00,6.90,-2.02,526.73
2022,338,34596.96,1.06,147.80,0.00,8.31,0.65,639.99
2022,339,34547.93,0.00,158.97,0.00,7.26,-0.90,572.07
2022,340,34501.74,0.00,184.34,0.00,7.35,-2.15,521.75
2022,341,34458.42,0.00,224.58,0.00,8.64,-3.40,475.20
2022,342,34418.02,0.00,204.60,0.00,3.51,-6.89,364.50
2022,343,34380.55,0.00,282.77,0.00,6.57,-10.48,275.30
2022,344,34346.04,0.00,297.83,0.00,8.31,-11.15,260.82
2022,345,34314.52,0.00,286.39,0.00,10.09,-7.93,336.31
